id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
TwCwvkAZDwMfzU663Ni6nJ,Blinding Paradox,Crimson Desert,n5c3rmU98v5Iqy00XEurrr,['The Weekends'],['LyyNJgR4xE9XG0Kk7QgDgU'],11,1,False,0.728,0.502,6,-7.574,0,0.3291,0.7024,0.079330,0.224,0.756,166.115,186571,4.0,2000,2000-09-09
6apE0TRgxaKPFDlmvwcb6p,Organic Canyon,Analog Brass,WvRXeFduKjS9xQaM4XvOuA,['Space Cowboys'],['ZfwUZY3fLZbm4D0h5KRXTM'],6,1,True,0.526,0.775,7,-14.649,1,0.1026,0.3413,0.080612,0.077,0.255,133.728,271452,4.0,1972,1972-02-21
4Nk9h9e8Wb9Dafpv5Zs8II,Ethereal Pilot,Velvet Wall,lYj39juWowsZ5XgjgCInNq,['Quantum Leap'],['TAlYkch2sSYbVhKNC7J2eM'],13,1,True,0.312,0.694,8,-9.818,0,0.4556,0.6919,0.058072,0.093,0.532,89.945,232371,4.0,1975,1975-08-01
1EzBJIDxcnFf0k01b7Vc0W,Midnight Winds,Cosmic Turbine,NUF8pNSizSwxdFDrAqcOVc,['The Asteroids'],['6Uehb7Hbdc4rlrEBXBdU8F'],5,1,True,0.401,0.596,6,-7.856,1,0.3332,0.2671,0.030175,0.395,0.772,158.998,206532,4.0,1976,1976-05-28
BemjqOBybqIfgSLs8bBHU9,Echoing Hearts,Smooth Beat,0UOJ5GfWppAaY0wjxXXDAE,['Analog Dreams'],['gT4m2F1WO2ynJ21yYpniPJ'],5,1,True,0.813,0.686,2,-4.497,0,0.1287,0.7908,0.096683,0.256,0.741,132.527,270396,4.0,1998,1998-10-07
wBWS0IBNZqgaSW6FUqjtcw,Serene Labyrinth,Hollow Spirit,MeBK5QFEy9PVcNllkKbOs1,['Gas'],['uwGMmzFPua15s6W7JUFixr'],12,1,False,0.241,0.755,7,-14.914,0,0.2201,0.5031,0.087456,0.246,0.760,84.668,186494,4.0,1985,1985-02-10
1t9KMO1JF50rrz22oE4ahU,Gilded Chaos,Bleeding Past,9752RHzqLziUJ4tIN6LLwB,['The Quiet Room'],['IyB7DFfsjoznrQ4oENnwp5'],11,1,True,0.264,0.533,5,-7.895,0,0.1341,0.7351,0.084755,0.490,0.825,150.746,275674,4.0,2019,2019-06-28
5n8IAuC0zBgKVRz8Ar4qt5,Rural Corridor,Shadowy Guitar,gAoN8H4ub8hhQqbaqYlUtE,['Rhythmic'],['uqN2iRsZXXjJupawj92RqQ'],15,1,False,0.841,0.592,10,-2.545,0,0.3194,0.0979,0.052614,0.134,0.314,96.801,230561,4.0,1996,1996-02-20
R9cBIca73pV4sToNJnnz9D,Monochrome Oceans,Fading Relic,LvVEDJopyFyaOFBwKEjpGZ,['DJ Apollo'],['I4xZqiWxvpsQ36jrti5pGT'],2,1,False,0.409,0.437,0,-5.478,1,0.3540,0.5498,0.053490,0.293,0.632,167.747,293625,4.0,1977,1977-10-20
gJEX1JMFlRfBlIGxAxN6bO,Living Sunsets,Mystic Highway,stuZ6G9ifn1tK0DfDy4q7p,['Nebula Seven'],['7NmHL9NuWDmQkqgsYJdXBy'],6,1,False,0.216,0.725,6,-6.285,0,0.2422,0.6880,0.005359,0.295,0.208,92.931,299642,4.0,1975,1975-02-14
Wv23FfaOb4mCl4rIRMv9bo,Living Nights,Mortal Compass,Dx37oSp5cJyeMBIxZtzJ6k,['Electric Dreams'],['Lv0mHtwqi7mlEaD1doKZSh'],12,1,True,0.500,0.562,7,-14.895,1,0.3279,0.4846,0.083791,0.087,0.772,160.503,259737,4.0,2007,2007-05-11
1nwcbEA2tvmVBM4l2NhefN,Invisible Feather,Doomed Oceans,VqzAjgcLZb6TEihOkbHU4Q,['Dynamic'],['r9CtUtV9GyzD9gtlzQM6tY'],10,1,True,0.499,0.958,2,-13.311,1,0.1293,0.0546,0.009983,0.315,0.663,140.914,240100,4.0,1977,1977-11-25
Zx3YLNeEwQmowuyx6WmNIT,Muted Harbor,Toxic Scream,Avg3mrwqBVlC16ZeKT44I1,['Marble Statues'],['yEw2kgN0AYvqbffXVo0E02'],2,1,True,0.333,0.827,4,-9.516,0,0.2644,0.4808,0.037432,0.268,0.609,88.635,268577,4.0,1984,1984-03-06
pvcIhcWhcoEGOHz4aef7GH,Heavy Tune,Radiant Bass,MYIdynlCta5Vqm6KTg8fxW,['The Void Walkers'],['xuZVYCbmTxKjZGUKSOtVrj'],3,1,True,0.332,0.958,8,-14.042,0,0.1616,0.5439,0.041286,0.074,0.612,169.747,209217,4.0,2004,2004-01-06
H2EhO5DDnS9p9jxXGaofkc,Dense Matrix,Echoing Engine,a50GtLHOFWORDmXOyKp77y,['Cosmic Drifters'],['q2T4dHjLrHQrYHApgNJ4pW'],12,1,True,0.392,0.400,0,-5.744,1,0.0368,0.0730,0.058439,0.284,0.333,172.697,210926,4.0,2004,2004-05-20
OB12ZK6MpteigGOWx0Cg5w,Spectral Memories,Sullen Mirror,3RNjc4ndI9nKBKcGeR9I7o,['Gentle Giant'],['WTKTTX7WTAxprYtd9BmuTy'],14,1,False,0.654,0.408,8,-3.532,0,0.2896,0.7168,0.015612,0.305,0.675,152.917,276213,4.0,2009,2009-03-12
W8mdKYYlUmpgdL2ly9O2bR,Wandering Wall,Tame Vibes,Yacd1wbG77PtkhPGSs3IYe,['Starlight'],['bYNZgjZHB8snjtjK9oPWf7'],4,1,False,0.194,0.730,7,-8.841,1,0.4627,0.5130,0.042657,0.383,0.234,107.970,194595,4.0,2013,2013-05-26
gmgoa5KEDYHZACy4d1ZdNb,Infinite Labyrinth,Vivid Planet,HVCDms0pGfbxR90lNDHemR,['Desert Rose'],['qiVUh255dLaoYLgWAuBjpc'],8,1,False,0.427,0.550,5,-14.579,0,0.2818,0.0041,0.018801,0.165,0.480,175.343,266855,4.0,1995,1995-05-01
8acIVl1KOs8i8AJywKdQpm,Wild Shadows,Lunar Harbor,cMzrUWhRcp1C6Ux5nJxv13,['Nebula Seven'],['5J21dfQQQ0mPsFtXgTMffQ'],11,1,True,0.616,0.489,3,-10.561,0,0.1198,0.2578,0.085410,0.109,0.221,172.930,293661,4.0,1985,1985-03-07
EpjuI3YwSgXybPPPJuJUPD,Neon-Soaked Waves,Modern Network,JYWY6oX20mphe5jC1BsW7R,['The Asteroids'],['uWrDP8goLzKqVRe2RdmGKR'],8,1,False,0.887,0.787,2,-4.679,0,0.4145,0.1592,0.071159,0.118,0.880,145.442,253783,4.0,1982,1982-10-14
lf3AIqOaFhcq0mIq6CXuwQ,Dying Piano,Floating Empire,7nx60VQ0W9fYJvMhWZP6PP,['Rhythmic'],['siDwsjqm7va50YYQW3aAbr'],8,1,True,0.846,0.884,8,-6.632,1,0.4699,0.7691,0.020435,0.401,0.242,161.537,279457,4.0,1978,1978-10-12
IzZm27wdy0YVZ0TDtnhRK7,Kinetic Empire,Frozen Artifact,qaM2xVmOd4NCrPHl0ElWjJ,['Acoustic'],['WBWNyBoIGdsdfn6S9jUWuJ'],5,1,False,0.219,0.418,6,-7.450,1,0.0398,0.2171,0.003534,0.248,0.395,134.370,195669,4.0,1998,1998-04-20
7kkHTClNWfXbWuPszZlFAy,Echoing Frown,Freezing Reality,Tx0x0cHeuNOceppNBL0iwV,['Electric Giants'],['aJNas6p15Hy3EwfUYarwCT'],12,1,False,0.178,0.841,7,-10.105,0,0.1270,0.2013,0.021748,0.446,0.661,178.744,296962,4.0,1985,1985-05-03
HbWp9NjLqTLeLfVwup7SWs,Quantum Memories,Deaf Piano,sKOGAEb4Gtdmgm7O5vrQZA,['Analog Dreams'],['436yqDQL3GdSWng8puzSed'],5,1,False,0.597,0.843,1,-14.325,0,0.3379,0.5674,0.029787,0.281,0.448,80.241,254655,4.0,2000,2000-09-22
mUzcOw40aHjbXNUDZVyjcg,Floating Tune,Dying Anchor,mvn8KA983ud1WzxYyXnh9K,['The Cursed'],['3bYa4WJeA6axEs7M09EbAi'],10,1,True,0.171,0.426,7,-11.700,1,0.1730,0.5171,0.058807,0.093,0.617,177.461,217830,4.0,2000,2000-07-23
TcnSjz3thcwy7Z0MHKbcDT,Angry Illusion,Shadowy Valley,xbcz8rYdI2D4Sw3Vnl6jhD,['Static Age'],['HfXYz99Aa6kC3s1cTJceL4'],15,1,False,0.764,0.754,0,-5.268,1,0.2919,0.0064,0.001153,0.167,0.391,153.560,165143,4.0,1979,1979-02-08
8IjaaJEtNnGx8KYB7PVVmM,Kinetic Brass,Unholy Chord,tHJPNLhcRnt8LTSaKpLZkT,['Event Horizon'],['tJfzg8USUNimm35RfWDYdY'],14,1,False,0.835,0.829,5,-14.213,1,0.3041,0.2054,0.002502,0.358,0.850,171.696,209795,4.0,1993,1993-02-06
kwlPTwy4Tx9ZF1z8cqtWMc,Glowing Storm,Blessed Orbit,50q47Ql0kVxTuOQqStmZQ1,['Solar Winds'],['YN8BD1fZbkaQohoZgY4bzx'],15,1,False,0.897,0.522,5,-10.949,1,0.0221,0.5182,0.077834,0.256,0.482,85.241,161013,4.0,1977,1977-03-16
1VPh1SI1NFOAcdiYIH2Iyi,Vibrant Window,Midnight Feather,Ue1Gv4bdua8IHAkX95kXFK,['Rhythmic'],['8vsQCvh8dBmcPggzJZZPrp'],15,1,True,0.283,0.627,6,-13.392,0,0.4730,0.2116,0.037061,0.246,0.637,177.136,218351,4.0,1985,1985-07-12
U4wlbVBSKg1fLfiVX7pINW,Golden Fire,Falling City,FWuJIS8gNcjJOKoXl7DmmW,['DJ Apollo'],['QS1vZpDvLSREkieqM1S3Io'],11,1,True,0.119,0.858,7,-9.744,1,0.0426,0.3367,0.027529,0.176,0.289,175.129,178873,4.0,2023,2023-10-02
v1OI0qJIffNymYVeUXvra8,Smooth Road,Lost Horizon,kSXYdLm1th2Hx36HLluihh,['Melodic'],['FDLjkGYKMJkspNDbO7HPOC'],1,1,False,0.152,0.633,0,-3.486,1,0.3888,0.7840,0.003503,0.077,0.397,95.565,267417,4.0,2008,2008-09-24
D2cc7tzU4RyVAArc3uH9Gf,Restless Rain,Gothic Pulse,xra3mltbm6bNgjGfDI49oF,['Rhythmic'],['HfpKY7RmkMbKNN4GwqLYD1'],4,1,False,0.639,0.590,8,-8.961,1,0.0285,0.7176,0.013572,0.401,0.339,111.282,167134,4.0,1973,1973-06-17
TwVOkqwyq9OVZ6C6d7vpr3,Obscure Trumpet,Glimmering River,Xga1DT75iZzExk2rgs02LZ,['DJ Apollo'],['8WfldZYSc36A5JdANKhMWc'],10,1,False,0.640,0.843,7,-4.544,1,0.2309,0.4712,0.090821,0.408,0.893,150.133,224410,4.0,2013,2013-03-11
dWQyo5IKiNr95EZqwVj95L,Blinding Smile,Obsidian Serum,wEUCzhVsy6NM2BSLUAgLHj,['Rockstar 99'],['XoZTKGaNcXc4hZlASkFp4H'],1,1,False,0.405,0.733,4,-7.249,0,0.2769,0.5643,0.050438,0.214,0.380,101.938,233172,4.0,1990,1990-12-09
ZCdzusmy7lTgB7ux1qDkMx,Gothic Town,Restless Chord,i8G6S54sYc2Bbu3Mt87MoG,['Zero Gravity'],['RjBTXPBtMtzc0Rg2IEeKNE'],9,1,False,0.263,0.959,4,-8.462,0,0.0348,0.3129,0.029852,0.317,0.425,81.912,294177,4.0,2013,2013-09-02
s5N8H2QeEd2ohYR5tKvtPD,Mystic Pond,Dark Road,Tthui2I7N8AkGRkh3wI5i0,['Past Lives'],['d93VSyOrCpjrhPtyUE6ewN'],14,1,True,0.518,0.685,0,-5.815,0,0.3658,0.6617,0.019087,0.108,0.783,178.191,229032,4.0,2010,2010-10-17
rA3LM9zJU0yU6XnDr3xJNB,Shattered Winds,Cursed Echoes,Cgnv8ANQDCaGXxOUEqUAJY,['Zero Gravity'],['h4jX7hoTs07duDlFdzSCDx'],8,1,True,0.238,0.585,4,-8.262,1,0.3467,0.4215,0.021604,0.084,0.529,161.707,225083,4.0,1970,1970-06-26
c4bD31PEzWoPpCHItgTerA,Living Galaxy,Neon-Soaked Puddle,UeemM8AcSmg3yh5Nu2siPf,['Sacred Geometry'],['ugynNRPCZtqDfAJollYRnW'],2,1,True,0.301,0.513,5,-9.546,0,0.3423,0.6020,0.097126,0.082,0.593,115.930,214691,4.0,2004,2004-04-06
Pp4AYcaL7h9zgzhNG4wAQI,Shattered City,Peasant Metal,QA1rSb8yrXlvgJWGddxmcb,['Ghost Frequency'],['mHy0Ls8j8Zu9QKkWIa13Th'],10,1,True,0.150,0.832,4,-12.945,1,0.3880,0.3376,0.072551,0.307,0.321,130.469,216863,4.0,1986,1986-09-15
jF01n23GhOGdKqV21xTQMu,Blessed Engine,Liquid Past,DcTiza4W4nj3nW3omkC0LU,['Cosmic Drifters'],['prWooxE8rQkJ8ktCEvyvwj'],4,1,False,0.219,0.703,5,-8.532,0,0.2188,0.2056,0.013750,0.129,0.657,93.353,216331,4.0,1975,1975-01-22
FegRYcKULjSqt8X39i00Nj,Vivid Avenue,Digital Past,e0gPT2vGVAt9aRlut4eJuV,['Static Age'],['PRYX7WXVD9TtZwtUBPc4YC'],12,1,False,0.496,0.708,8,-11.524,1,0.3709,0.0826,0.036224,0.455,0.601,144.502,281196,4.0,1987,1987-05-04
dAImXsq35HL8bgnFvzHZfp,Radiant Tears,Lucid Nomad,LrvcEAJSywcEi76WB9lWFM,['DJ Apollo'],['A2a5zpdceyRZZfjs8fmirS'],3,1,True,0.529,0.681,3,-2.299,1,0.0657,0.3182,0.097110,0.066,0.242,158.218,186529,4.0,2001,2001-06-24
2Kg8zQrrsfnoeqV99WnT6V,Mechanical Light,Hot Forest,mUnhX44Au5SYDRy2Gqh1eL,['The Soundscapes'],['q7TxcEQihCCVsiZuqSzI0B'],12,1,True,0.576,0.802,2,-12.491,1,0.2440,0.2096,0.020083,0.499,0.680,169.219,193056,4.0,2021,2021-06-19
ic4Y42o4DV1QRnHNDU6i7p,Cosmic Skies,Terminal Outcast,qzvfXDdbNLBPrFRfIe9H3Y,['Cosmic Drifters'],['4KtHm0ysnoriROv5yGQ9gG'],1,1,True,0.521,0.624,3,-10.023,0,0.1016,0.0251,0.099976,0.087,0.893,149.859,225841,4.0,1982,1982-09-20
ssXq6vxk9Kq3xY3sHarI15,Lunar Monolith,Dancing Network,6RImfGIciASDyY7vHGE7H9,['Vaporwave Surfers'],['dL1stqAuuHMA11QJb7T3IP'],3,1,False,0.855,0.980,4,-3.225,0,0.3823,0.2076,0.084097,0.181,0.771,86.433,221274,4.0,1981,1981-03-16
Mv7x0ZzIyXiHMMmIHRnW5A,Atomic Cortex,Fading Tower,eXhesU1MINHPIFwHYvoEA8,['Monochrome Skies'],['YvQpKBLPLxu3amVb9nwOAC'],4,1,True,0.436,0.541,1,-10.267,0,0.4075,0.6058,0.005978,0.450,0.787,161.944,245959,4.0,2020,2020-05-13
Po7Wb3tmGVtiftwz1Jt55a,Wandering Canyon,Cold Mountain,S2bFKasc8HQEo0FhmTAdBn,['Neon Genesis'],['U6mTNfYSD1SpElP6NVLnh7'],13,1,False,0.152,0.405,6,-7.244,0,0.0160,0.0619,0.031884,0.188,0.685,127.130,167713,4.0,1988,1988-03-21
fYt21DohKZe7543BelmIGo,Cursed Illusion,Serene Engine,IPOkjyeslKOdKNq848giDl,['Static Age'],['lFwN0geGSwdrgKpICYaYBv'],1,1,False,0.300,0.932,10,-9.797,0,0.0298,0.6881,0.099069,0.131,0.632,109.936,170436,4.0,1991,1991-12-06
l6IvesUolOpnKxSzJrPtCB,Tough Shout,Digital River,SBaHdwjuvSyBOb2qPnCCYW,['The Pulsars'],['8zWPqtI24kDfzpbhjU9igX'],7,1,True,0.489,0.716,10,-9.796,0,0.2196,0.3381,0.004237,0.051,0.558,81.851,217520,4.0,1987,1987-03-05
rk5ZEEHskYY3E2b42d51BS,Fractured Statue,Synthetic Voice,qc8h8VhJtZ1w8G8N6stfw5,['DJ Horizon'],['fV9h8CgJfWvlB4GsL9PN5X'],5,1,True,0.603,0.422,6,-3.250,1,0.0573,0.0631,0.066907,0.346,0.705,140.578,170396,4.0,1989,1989-09-11
oro71DU4j3GbjJN3FB1hBd,Parallel Empire,Laughing Fire,EMw5BirmedeSkddDfMGwwx,['The Algorithm'],['DHzSSy7cbMwVR7EGsstWIb'],4,1,True,0.670,0.621,11,-2.909,1,0.3548,0.3489,0.041449,0.120,0.293,107.574,208656,4.0,1981,1981-11-23
VCON2FrKrwEdgSeNcdC3aU,Retro Sanctuary,Unholy Tower,uWuM1djzmECAZEOQXFMlq3,['Wandering Souls'],['DVOp8Yqi3kCv4BWoBI0NRa'],9,1,True,0.136,0.478,8,-6.408,1,0.1201,0.5545,0.013860,0.212,0.506,178.493,225644,4.0,1977,1977-12-01
UhEfxF0OnXBleB4T2OUL4J,Monochrome Orbit,Secret Chaos,nJxvYJDjjhOyKLBIkwqthS,['Ethereal Voices'],['5kv76NQBfDSc6ytIfcx3YI'],1,1,True,0.751,0.619,0,-14.388,0,0.3450,0.1286,0.004840,0.382,0.849,146.902,228436,4.0,2010,2010-03-24
fD7Ko4OMKl2tsdFqw4uzm2,Ethereal Waves,Dense Mountain,7rbNcM6wBl8I3wKPGfAGW0,['Past Lives'],['ujrqnloZntRNG1jKvu33A7'],3,1,True,0.358,0.632,9,-2.477,1,0.1831,0.7155,0.039093,0.419,0.502,151.497,162545,4.0,1981,1981-03-02
87R3zU79Z2b6EllhMO1jvA,Feral Sanctuary,Terminal Highway,s87a9xhX4pcVqZxxgX0IbC,['Crystal Castles'],['1KrNir7b1xk9Xr6CP8zzdp'],5,1,True,0.463,0.792,3,-5.154,1,0.1742,0.5790,0.076660,0.476,0.899,141.765,194785,4.0,1987,1987-12-06
ordDzaBbPiAAtCtPpptmcl,Blind Labyrinth,Sharp Machine,PEiercbc3QTebQEk1eQ9oK,['Neon Eclipse'],['LihAVYu5IIJ0w8dWieuBJT'],7,1,False,0.326,0.813,9,-10.935,0,0.4536,0.2285,0.096116,0.409,0.804,130.564,258112,4.0,2014,2014-10-25
ZzoIeiRv91OJdYuMSoQ2Md,Gilded Drum,Sonic Corridor,7SlHq8kCSHCGZowzh405Nb,['Omega Point'],['bHv34K3QxAsgRgp9sHR4Wy'],10,1,True,0.393,0.837,11,-5.677,0,0.4659,0.1376,0.076279,0.210,0.775,151.653,293593,4.0,1996,1996-04-07
5A1yPQ0vOrMKMoEzgjCo8Q,Secret Chasm,Drifting Nightmare,xthXY7ytz43y0SM0Mipi2C,['Bitter Sweet'],['UG9ByJx6juyPRWUOPTQSPO'],15,1,True,0.589,0.439,3,-5.054,0,0.0305,0.0184,0.052410,0.331,0.516,103.683,260138,4.0,2014,2014-03-13
DO9cpX2FvtyJ7QV0trNcNv,Lost Ceiling,Weeping Village,HAO2gjmaWzwdalAay5TxNb,['Rockstar 99'],['LqZEiwo3p5BD6rusPPpL2N'],8,1,False,0.253,0.506,8,-14.267,0,0.0614,0.1965,0.028662,0.247,0.700,153.617,295292,4.0,2015,2015-11-02
BOIbn8upVz0T1HtzstHKRo,Retro Hearts,Burning Alley,Uu5fBR1euD2CmpIedocbFd,['Ethereal Voices'],['q8ch0u1RgWJj9UA994K9F6'],10,1,True,0.267,0.622,8,-4.604,0,0.0948,0.0578,0.048673,0.210,0.843,135.899,227143,4.0,2006,2006-12-10
qxTx0n7Fr4mZc6sldnjGLO,Glowing Song,Urban Galaxy,uj5unFGaZ5W00Wn7jc9TAj,['Lofi Girl'],['X2TApCP9ZHscBepQCPVgNT'],6,1,True,0.858,0.945,4,-9.027,0,0.2220,0.0720,0.079839,0.369,0.664,168.768,260568,4.0,1980,1980-02-08
I2GVRlBmDMvmDhUYauRUnU,Muted Mirror,Dull Drop,Bru1TZfgPyigT7PctcwpO8,['Nebula Seven'],['Urg2l7UXZfOTep0IVQGB6h'],7,1,True,0.311,0.439,2,-9.315,1,0.4413,0.3787,0.015559,0.385,0.856,162.041,177778,4.0,1972,1972-06-19
n9SJZiSdNl7gtDsqfEFzFe,Crystal Enigma,Tough Skies,2NYc24aBENLeeuM7WjqdNj,['Electric Dreams'],['qEZTQmSdQU0x61zeCD2Xre'],14,1,True,0.857,0.813,10,-14.299,0,0.3417,0.1580,0.016037,0.343,0.546,164.234,294076,4.0,1995,1995-06-10
VwQf7SBw7b5qVxS0AiLaa9,Lost Satellite,Screaming Machine,S9Ov94N6ss0GW5jh1oG6el,['Gas'],['14lCl4mLDCSa7ceViULhir'],2,1,False,0.211,0.836,5,-10.463,0,0.2435,0.7564,0.085642,0.293,0.376,148.572,256145,4.0,1976,1976-07-07
1gah8uOqjBGGxR2nHYf8mj,Mystic Avenue,Sullen Summit,l7XgbX5dd4HBlP3ADlJT1E,['Neon Knights'],['t1zAZfIMM2Rui0Pld0puAa'],2,1,True,0.147,0.589,7,-10.841,0,0.4408,0.5948,0.061919,0.177,0.796,174.571,209519,4.0,1991,1991-11-16
HSfsSUmc21ojUkgOgsBf16,Bitter Horizon,Fading Canvas,9nI2vWHyQZO5RqXCRYBDFf,['Primal Screamers'],['vv1blCGkHQXZQT4hRUEpYe'],15,1,False,0.473,0.585,5,-5.056,0,0.3883,0.7666,0.031539,0.383,0.317,115.014,222163,4.0,1997,1997-02-23
CfSb8fOgJ2h52H2G3dPlE9,Modern Reality,Dull Satellite,D18P3V8eILKjuSOJ6fLnkL,['The Last Byte'],['2kb4M0pa80bGPekWG0pYjj'],15,1,True,0.421,0.716,4,-8.207,1,0.1820,0.0057,0.014716,0.473,0.255,108.509,220931,4.0,1993,1993-03-13
